Food and Serving,Calories,Calories from Fat,Total Fat,Total Fat,Sodium,Sodium,Potassium,Potassium,Total Carbo-hydrate,Total Carbo-hydrate,Dietary Fiber,Dietary Fiber,Sugars,Protein,Vitamin A,Vitamin C,Calcium,  Iron  ,Saturated Fat,Saturated Fat,Chole-sterol,Chole-sterol,Food Type
"Pineapple, 2 slices, 3"" diameter, 3/4"" thick",50,0,0,0,10,0,120,3,13,4,1,4,10,1,2,50,2,2,,,,,Fruits
"Plums, 2 medium (151 g/5.4 oz)",70,0,0,0,0,0,230,7,19,6,2,8,16,1,8,10,0,2,,,,,Fruits
"Strawberries, 8 medium (147 g/5.3 oz)",50,0,0,0,0,0,170,5,11,4,2,8,8,1,0,160,2,2,,,,,Fruits
Sweet Cherries 21 cherries; 1 cup,100,0,0,0,0,0,350,10,26,9,1,4,16,1,2,15,2,2,,,,,Fruits
"Tangerine, 1 medium (109 g/3.9 oz)",50,0,0,0,0,0,160,5,13,4,2,8,9,1,6,45,4,0,,,,,Fruits
"Watermelon, 1/18 medium melon; 2 cups diced pieces(280 g/",80,0,0,0,0,0,270,8,21,7,1,4,20,1,30,25,2,4,,,,,Fruits
Blue Crab,100,10,1,2,330,14,300,9,0,0,,,,20,0,4,10,4,0,0,95,32,Seafood
Catfish,130,60,6,9,40,2,230,7,0,0,,,,17,0,0,0,0,2,10,50,17,Seafood
"Clams, about 12 small",110,15,1.5,2,95,4,470,13,6,2,,,,17,10,0,8,30,0,0,80,27,Seafood
Cod,90,5,1,2,65,3,460,13,0,0,,,,20,0,2,2,2,0,0,50,17,Seafood
Flounder/Sole,100,15,1.5,2,100,4,390,11,0,0,,,,19,0,0,2,0,0,0,55,18,Seafood
Halibut,120,15,2,3,60,3,500,14,0,0,,,,23,4,0,2,6,0,0,40,13,Seafood
Lobster,80,0,0.5,1,320,13,300,9,1,0,,,,17,2,0,6,2,0,0,60,20,Seafood
Ocean Perch,110,20,2,3,95,4,290,8,0,0,,,,21,0,2,10,4,0.5,3,45,15,Seafood
Orange Roughy,80,5,1,2,70,3,340,10,0,0,,,,16,2,0,4,2,0,0,20,7,Seafood
"Oysters, about 12 medium",100,35,4,6,300,13,220,6,6,2,,,,10,0,6,6,45,1,5,80,27,Seafood
Pollock,90,10,1,2,110,5,370,11,0,0,,,,20,2,0,0,2,0,0,80,27,Seafood
Rainbow Trout,140,50,6,9,35,1,370,11,0,0,,,,20,4,4,8,2,2,10,55,18,Seafood
Rockfish,110,15,2,3,70,3,440,13,0,0,,,,21,4,0,2,2,0,0,40,13,Seafood
"Scallops, about 6 large or 14 small",140,10,1,2,310,13,430,12,5,2,,,,27,2,0,4,14,0,0,65,22,Seafood
Shrimp,100,10,1.5,2,240,10,220,6,0,0,,,,21,4,4,6,10,0,0,170,57,Seafood
Swordfish,120,50,6,9,100,4,310,9,0,0,,,,16,2,2,0,6,1.5,8,40,13,Seafood
Tuna,130,15,1.5,2,40,2,480,14,0,0,,,,26,2,2,2,4,0,0,50,17,Seafood
